RAW IMAGES SUMMARY – BioPlatform Caldas
Generated: 2026-03-06 02:00:32 UTC
==========================================================================================

Total especies:     754
Total imágenes:     43,917 (originales: 43,917, augmentadas: 0)
Umbral:             20
Aptas (≥20):       749
No aptas (<20):     5

DISTRIBUCIÓN POR RANGO
----------------------------------------
     1-9:     0
   10-19:     5
   20-49:    30
   50-99:   658
    100+:    61

DISTRIBUCIÓN POR REINO
------------------------------------------------------------------------------------------
Reino           │ Especies │ Imágenes │ Original │  Augment │    ≥20
------------------------------------------------------------------------------------------
Animalia        │      544 │    33591 │    33591 │        0 │    542
Fungi           │        7 │      272 │      272 │        0 │      5
Plantae         │      203 │    10054 │    10054 │        0 │    202

DETALLE POR ESPECIE (ordenado por: count_desc)
------------------------------------------------------------------------------------------
    # │ Especie                                       │ Reino        │  Total │   Orig │   Aug
------------------------------------------------------------------------------------------
  114 │ Florisuga mellivora                           │ Animalia     │     64 │     64 │     0 ✓
  115 │ Pristimantis achatinus                        │ Animalia     │     62 │     62 │     0 ✓
  116 │ Troglodytes musculus                          │ Animalia     │     62 │     62 │     0 ✓
  117 │ Oncidium ornithorhynchum                      │ Plantae      │     62 │     62 │     0 ✓
  118 │ Grallaria quitensis                           │ Animalia     │     61 │     61 │     0 ✓
  119 │ Tangara arthus                                │ Animalia     │     61 │     61 │     0 ✓
  120 │ Thlypopsis superciliaris                      │ Animalia     │     61 │     61 │     0 ✓
  121 │ Menemerus bivittatus                          │ Animalia     │     60 │     60 │     0 ✓
  122 │ Begonia umbellata                             │ Plantae      │     60 │     60 │     0 ✓
  123 │ Argiope argentata                             │ Animalia     │     59 │     59 │     0 ✓
  124 │ Heterogomphus schoenherri                     │ Animalia     │     58 │     58 │     0 ✓
  125 │ Piaya cayana                                  │ Animalia     │     58 │     58 │     0 ✓
  126 │ Altinote ozomene                              │ Animalia     │     57 │     57 │     0 ✓
  127 │ Hellmayrea gularis                            │ Animalia     │     57 │     57 │     0 ✓
  128 │ Notiochelidon murina                          │ Animalia     │     57 │     57 │     0 ✓
  129 │ Quiscalus lugubris                            │ Animalia     │     57 │     57 │     0 ✓
  130 │ Myiozetetes cayanensis                        │ Animalia     │     57 │     57 │     0 ✓
  131 │ Heliconius erato                              │ Animalia     │     56 │     56 │     0 ✓
  132 │ Tangara nigroviridis                          │ Animalia     │     56 │     56 │     0 ✓
  133 │ Oxypogon stuebelii                            │ Animalia     │     56 │     56 │     0 ✓
  134 │ Sporophila nigricollis                        │ Animalia     │     55 │     55 │     0 ✓
  135 │ Catharus ustulatus                            │ Animalia     │     55 │     55 │     0 ✓
  136 │ Machetornis rixosa                            │ Animalia     │     55 │     55 │     0 ✓
  137 │ Anthurium caramantae                          │ Plantae      │     55 │     55 │     0 ✓
