RAW IMAGES SUMMARY – BioPlatform Caldas
Generated: 2026-03-06 02:00:32 UTC
==========================================================================================

Total especies:     754
Total imágenes:     43,917 (originales: 43,917, augmentadas: 0)
Umbral:             20
Aptas (≥20):       749
No aptas (<20):     5

DISTRIBUCIÓN POR RANGO
----------------------------------------
     1-9:     0
   10-19:     5
   20-49:    30
   50-99:   658
    100+:    61

DISTRIBUCIÓN POR REINO
------------------------------------------------------------------------------------------
Reino           │ Especies │ Imágenes │ Original │  Augment │    ≥20
------------------------------------------------------------------------------------------
Animalia        │      544 │    33591 │    33591 │        0 │    542
Fungi           │        7 │      272 │      272 │        0 │      5
Plantae         │      203 │    10054 │    10054 │        0 │    202

DETALLE POR ESPECIE (ordenado por: count_desc)
------------------------------------------------------------------------------------------
    # │ Especie                                       │ Reino        │  Total │   Orig │   Aug
------------------------------------------------------------------------------------------
  625 │ Burmeistera bullatifolia                      │ Plantae      │     50 │     50 │     0 ✓
  626 │ Centropogon ferrugineus                       │ Plantae      │     50 │     50 │     0 ✓
  627 │ Centropogon foetidus                          │ Plantae      │     50 │     50 │     0 ✓
  628 │ Centropogon leucophyllus                      │ Plantae      │     50 │     50 │     0 ✓
  629 │ Ipomoea batatas                               │ Plantae      │     50 │     50 │     0 ✓
  630 │ Ipomoea indica                                │ Plantae      │     50 │     50 │     0 ✓
  631 │ Ipomoea purpurea                              │ Plantae      │     50 │     50 │     0 ✓
  632 │ Momordica charantia                           │ Plantae      │     50 │     50 │     0 ✓
  633 │ Sechium edule                                 │ Plantae      │     50 │     50 │     0 ✓
  634 │ Vallea stipularis                             │ Plantae      │     50 │     50 │     0 ✓
  635 │ Gaultheria myrsinoides                        │ Plantae      │     50 │     50 │     0 ✓
  636 │ Euphorbia hirta                               │ Plantae      │     50 │     50 │     0 ✓
  637 │ Ricinus communis                              │ Plantae      │     50 │     50 │     0 ✓
  638 │ Trifolium pratense                            │ Plantae      │     50 │     50 │     0 ✓
  639 │ Trifolium repens                              │ Plantae      │     50 │     50 │     0 ✓
  640 │ Quercus humboldtii                            │ Plantae      │     50 │     50 │     0 ✓
  641 │ Gentiana sedifolia                            │ Plantae      │     50 │     50 │     0 ✓
  642 │ Voyria tenella                                │ Plantae      │     50 │     50 │     0 ✓
  643 │ Besleria cinnabarina                          │ Plantae      │     50 │     50 │     0 ✓
  644 │ Columnea ceticeps                             │ Plantae      │     50 │     50 │     0 ✓
  645 │ Columnea fuscihirta                           │ Plantae      │     50 │     50 │     0 ✓
  646 │ Columnea strigosa                             │ Plantae      │     50 │     50 │     0 ✓
  647 │ Drymonia lanceolata                           │ Plantae      │     50 │     50 │     0 ✓
  648 │ Glossoloma schultzei                          │ Plantae      │     50 │     50 │     0 ✓
  649 │ Kohleria inaequalis                           │ Plantae      │     50 │     50 │     0 ✓
  650 │ Kohleria spicata                              │ Plantae      │     50 │     50 │     0 ✓
  651 │ Kohleria warszewiczii                         │ Plantae      │     50 │     50 │     0 ✓
  652 │ Juglans neotropica                            │ Plantae      │     50 │     50 │     0 ✓
  653 │ Salvia scutellarioides                        │ Plantae      │     50 │     50 │     0 ✓
  654 │ Aiouea montana                                │ Plantae      │     50 │     50 │     0 ✓
  655 │ Gaiadendron punctatum                         │ Plantae      │     50 │     50 │     0 ✓
  656 │ Magnolia yarumalensis                         │ Plantae      │     50 │     50 │     0 ✓
  657 │ Callianthe megapotamica                       │ Plantae      │     50 │     50 │     0 ✓
  658 │ Callianthe picta                              │ Plantae      │     50 │     50 │     0 ✓
  659 │ Theobroma cacao                               │ Plantae      │     50 │     50 │     0 ✓
  660 │ Wercklea ferox                                │ Plantae      │     50 │     50 │     0 ✓
  661 │ Andesanthus lepidotus                         │ Plantae      │     50 │     50 │     0 ✓
  662 │ Bellucia pentamera                            │ Plantae      │     50 │     50 │     0 ✓
  663 │ Chaetogastra gracilis                         │ Plantae      │     50 │     50 │     0 ✓
  664 │ Chaetogastra grossa                           │ Plantae      │     50 │     50 │     0 ✓
  665 │ Chaetogastra mollis                           │ Plantae      │     50 │     50 │     0 ✓
  666 │ Miconia aeruginosa                            │ Plantae      │     50 │     50 │     0 ✓
  667 │ Miconia asperrima                             │ Plantae      │     50 │     50 │     0 ✓
  668 │ Miconia salicifolia                           │ Plantae      │     50 │     50 │     0 ✓
  669 │ Miconia trichocalyx                           │ Plantae      │     50 │     50 │     0 ✓
  670 │ Monochaetum multiflorum                       │ Plantae      │     50 │     50 │     0 ✓
  671 │ Pleroma urvilleanum                           │ Plantae      │     50 │     50 │     0 ✓
  672 │ Muntingia calabura                            │ Plantae      │     50 │     50 │     0 ✓
  673 │ Morella pubescens                             │ Plantae      │     50 │     50 │     0 ✓
  674 │ Fuchsia boliviana                             │ Plantae      │     50 │     50 │     0 ✓
  675 │ Fuchsia nigricans                             │ Plantae      │     50 │     50 │     0 ✓
  676 │ Fuchsia petiolaris                            │ Plantae      │     50 │     50 │     0 ✓
  677 │ Castilleja arvensis                           │ Plantae      │     50 │     50 │     0 ✓
  678 │ Castilleja fissifolia                         │ Plantae      │     50 │     50 │     0 ✓
  679 │ Bocconia frutescens                           │ Plantae      │     50 │     50 │     0 ✓
  680 │ Passiflora adenopoda                          │ Plantae      │     50 │     50 │     0 ✓
  681 │ Passiflora alata                              │ Plantae      │     50 │     50 │     0 ✓
  682 │ Passiflora alnifolia                          │ Plantae      │     50 │     50 │     0 ✓
  683 │ Passiflora antioquiensis                      │ Plantae      │     50 │     50 │     0 ✓
  684 │ Passiflora apoda                              │ Plantae      │     50 │     50 │     0 ✓
  685 │ Passiflora capsularis                         │ Plantae      │     50 │     50 │     0 ✓
  686 │ Passiflora cisnana                            │ Plantae      │     50 │     50 │     0 ✓
  687 │ Passiflora coriacea                           │ Plantae      │     50 │     50 │     0 ✓
  688 │ Passiflora cumbalensis                        │ Plantae      │     50 │     50 │     0 ✓
  689 │ Passiflora cuspidifolia                       │ Plantae      │     50 │     50 │     0 ✓
  690 │ Passiflora maliformis                         │ Plantae      │     50 │     50 │     0 ✓
  691 │ Passiflora mixta                              │ Plantae      │     50 │     50 │     0 ✓
  692 │ Passiflora suberosa                           │ Plantae      │     50 │     50 │     0 ✓
  693 │ Passiflora tribolophylla                      │ Plantae      │     50 │     50 │     0 ✓
  694 │ Passiflora vitifolia                          │ Plantae      │     50 │     50 │     0 ✓
  695 │ Phytolacca rivinoides                         │ Plantae      │     50 │     50 │     0 ✓
  696 │ Phytolacca rugosa                             │ Plantae      │     50 │     50 │     0 ✓
  697 │ Peperomia rotundifolia                        │ Plantae      │     50 │     50 │     0 ✓
  698 │ Piper lanceifolium                            │ Plantae      │     50 │     50 │     0 ✓
  699 │ Piper peltatum                                │ Plantae      │     50 │     50 │     0 ✓
  700 │ Persicaria capitata                           │ Plantae      │     50 │     50 │     0 ✓
  701 │ Persicaria nepalensis                         │ Plantae      │     50 │     50 │     0 ✓
  702 │ Potentilla indica                             │ Plantae      │     50 │     50 │     0 ✓
  703 │ Rubus nubigenus                               │ Plantae      │     50 │     50 │     0 ✓
  704 │ Galium hypocarpium                            │ Plantae      │     50 │     50 │     0 ✓
  705 │ Nertera granadensis                           │ Plantae      │     50 │     50 │     0 ✓
  706 │ Palicourea angustifolia                       │ Plantae      │     50 │     50 │     0 ✓
  707 │ Palicourea colorata                           │ Plantae      │     50 │     50 │     0 ✓
  708 │ Tournefortiopsis crispiflora                  │ Plantae      │     50 │     50 │     0 ✓
  709 │ Capsicum dimorphum                            │ Plantae      │     50 │     50 │     0 ✓
  710 │ Solanum quitoense                             │ Plantae      │     50 │     50 │     0 ✓
  711 │ Solanum vestissimum                           │ Plantae      │     50 │     50 │     0 ✓
  712 │ Streptosolen jamesonii                        │ Plantae      │     50 │     50 │     0 ✓
  713 │ Turnera subulata                              │ Plantae      │     50 │     50 │     0 ✓
  714 │ Cecropia angustifolia                         │ Plantae      │     50 │     50 │     0 ✓
  715 │ Cecropia telealba                             │ Plantae      │     50 │     50 │     0 ✓
  716 │ Araucaria columnaris                          │ Plantae      │     50 │     50 │     0 ✓
  717 │ Retrophyllum rospigliosii                     │ Plantae      │     50 │     50 │     0 ✓
  718 │ Equisetum bogotense                           │ Plantae      │     50 │     50 │     0 ✓
  719 │ Serpocaulon levigatum                         │ Plantae      │     50 │     50 │     0 ✓
  720 │ Hyloscirtus larinopygion                      │ Animalia     │     49 │     49 │     0 ✓
  721 │ Dismorphia crisia                             │ Animalia     │     48 │     48 │     0 ✓
  722 │ Maeota ibargueni                              │ Animalia     │     47 │     47 │     0 ✓
  723 │ Corades cybele                                │ Animalia     │     45 │     45 │     0 ✓
  724 │ Masdevallia parvula                           │ Plantae      │     42 │     42 │     0 ✓
  725 │ Nymphargus chami                              │ Animalia     │     41 │     41 │     0 ✓
  726 │ Lepanthes guttula-sanguinis                   │ Plantae      │     40 │     40 │     0 ✓
  727 │ Plebeia franki                                │ Animalia     │     39 │     39 │     0 ✓
  728 │ Caladium lindenii                             │ Plantae      │     39 │     39 │     0 ✓
  729 │ Fernandezia debedoutii                        │ Plantae      │     38 │     38 │     0 ✓
  730 │ Cholus nitidicollis                           │ Animalia     │     36 │     36 │     0 ✓
  731 │ Lepanthes rhombipetala                        │ Plantae      │     36 │     36 │     0 ✓
  732 │ Fuchsia hartwegii                             │ Plantae      │     36 │     36 │     0 ✓
  733 │ Lepanthes pachoi                              │ Plantae      │     35 │     35 │     0 ✓
  734 │ Mesothen albilimbata                          │ Animalia     │     34 │     34 │     0 ✓
  735 │ Automeris cryptica                            │ Animalia     │     33 │     33 │     0 ✓
  736 │ Onega fassli                                  │ Animalia     │     32 │     32 │     0 ✓
  737 │ Masdevallia ignea                             │ Plantae      │     32 │     32 │     0 ✓
  738 │ Masdevallia macrura                           │ Plantae      │     32 │     32 │     0 ✓
  739 │ Lepanthes silverstonei                        │ Plantae      │     31 │     31 │     0 ✓
  740 │ Ombrophytum villamariensis                    │ Plantae      │     30 │     30 │     0 ✓
  741 │ Anolis antioquiae                             │ Animalia     │     28 │     28 │     0 ✓
  742 │ Lepanthes volvox                              │ Plantae      │     27 │     27 │     0 ✓
  743 │ Gunnera magnifica                             │ Plantae      │     26 │     26 │     0 ✓
  744 │ Limenitis alala                               │ Animalia     │     24 │     24 │     0 ✓
  745 │ Pristimantis tribulosus                       │ Animalia     │     24 │     24 │     0 ✓
  746 │ Pleurothallis gracilicolumna                  │ Plantae      │     24 │     24 │     0 ✓
  747 │ Lepanthes helgae                              │ Plantae      │     22 │     22 │     0 ✓
  748 │ Lepanthes licrophora                          │ Plantae      │     21 │     21 │     0 ✓
  749 │ Magdalenasaura adercum                        │ Animalia     │     20 │     20 │     0 ✓
  750 │ Pedaliodes pausia                             │ Animalia     │     19 │     19 │     0 ✗
  751 │ Psilocybe cubensis                            │ Fungi        │     12 │     12 │     0 ✗
  752 │ Monstera pinnatipartita                       │ Plantae      │     12 │     12 │     0 ✗
  753 │ Limenitis corcyra                             │ Animalia     │     10 │     10 │     0 ✗
  754 │ Dacrymyces spathularius                       │ Fungi        │     10 │     10 │     0 ✗
