species,status,precision_v1,precision_v2,precision_delta,recall_v1,recall_v2,recall_delta,f1_score_v1,f1_score_v2,f1_score_delta,support_v1,support_v2
Centropogon_leucophyllus,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Cerdocyon_thous,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Ceroxylon_quindiuense,both,0.6667,0.8,0.1333,0.8,0.8,0.0,0.7273,0.8,0.0727,5,5
Certhiaxis_cinnamomeus,both,1.0,0.8333,-0.1667,0.8,1.0,0.2,0.8889,0.9091,0.0202,5,5
Chaetocercus_mulsant,both,0.7,0.8333,0.1333,0.5833,0.8333,0.25,0.6364,0.8333,0.1969,12,12
Chaetogastra_gracilis,both,0.8,1.0,0.2,0.8,1.0,0.2,0.8,1.0,0.2,5,5
Chaetogastra_grossa,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Chaetogastra_mollis,both,0.6667,1.0,0.3333,0.8,0.6,-0.2,0.7273,0.75,0.0227,5,5
Chalcostigma_herrani,both,0.9231,0.9231,0.0,1.0,1.0,0.0,0.96,0.96,0.0,12,12
Chalybura_buffonii,both,0.8333,0.7143,-0.119,1.0,1.0,0.0,0.9091,0.8333,-0.0758,5,5
Chamaedorea_linearis,both,0.5,0.5,0.0,0.4,0.4,0.0,0.4444,0.4444,0.0,5,5
Chamaedorea_pinnatifrons,both,0.8,0.6,-0.2,0.8,0.6,-0.2,0.8,0.6,-0.2,5,5
Chamaepetes_goudotii,both,1.0,1.0,0.0,0.7857,0.7857,0.0,0.88,0.88,0.0,14,14
Chauna_chavaria,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Chironius_monticola,both,0.8333,0.8,-0.0333,1.0,0.8,-0.2,0.9091,0.8,-0.1091,5,5
Chloroceryle_americana,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Chlorophanes_spiza,both,1.0,1.0,0.0,0.8,0.9,0.1,0.8889,0.9474,0.0585,10,10
Chlorornis_riefferii,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Chlorospingus_flavopectus,both,0.8,0.5714,-0.2286,0.8,0.8,0.0,0.8,0.6667,-0.1333,5,5
Chlorostilbon_melanorhynchus,both,0.5,0.6667,0.1667,0.2,0.4,0.2,0.2857,0.5,0.2143,5,5
Chlosyne_lacinia,both,0.8,1.0,0.2,0.8,1.0,0.2,0.8,1.0,0.2,5,5
Choeradodis_rhombicollis,both,1.0,0.75,-0.25,0.4,0.6,0.2,0.5714,0.6667,0.0953,5,5
Chrysomus_icterocephalus,both,1.0,0.7143,-0.2857,1.0,1.0,0.0,1.0,0.8333,-0.1667,5,5
Chrysso_nigriceps,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Cinclodes_excelsior,both,0.7143,0.625,-0.0893,1.0,1.0,0.0,0.8333,0.7692,-0.0641,5,5
Cinclus_leucocephalus,both,0.9,1.0,0.1,1.0,1.0,0.0,0.9474,1.0,0.0526,9,9
Cinnycerthia_olivascens,both,1.0,0.8,-0.2,0.6,0.8,0.2,0.75,0.8,0.05,5,5
Cistothorus_platensis,both,0.8,0.8,0.0,0.6667,0.6667,0.0,0.7273,0.7273,0.0,6,6
Clathrus_archeri,both,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,5,5
Clelia_equatoriana,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Cnemathraupis_eximia,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Cnemoscopus_rubrirostris,both,1.0,1.0,0.0,0.6667,0.6667,0.0,0.8,0.8,0.0,6,6
Coeligena_coeligena,both,0.9,1.0,0.1,0.9,1.0,0.1,0.9,1.0,0.1,10,10
Coeligena_lutetiae,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,15,15
Coeligena_torquata,both,0.8462,0.9167,0.0705,0.7333,0.7333,0.0,0.7857,0.8148,0.0291,15,15
Coeligena_wilsoni,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Coereba_flaveola,both,0.6667,0.3333,-0.3334,0.4,0.2,-0.2,0.5,0.25,-0.25,5,5
Colaptes_punctigula,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Colaptes_rivolii,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,11,11
Colaptes_rubiginosus,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Colibri_coruscans,both,1.0,1.0,0.0,0.8667,1.0,0.1333,0.9286,1.0,0.0714,15,15
Colibri_cyanotus,both,0.6875,0.8462,0.1587,1.0,1.0,0.0,0.8148,0.9167,0.1019,11,11
Colobura_dirce,both,0.8333,0.7143,-0.119,1.0,1.0,0.0,0.9091,0.8333,-0.0758,5,5
Colonia_colonus,both,1.0,1.0,0.0,0.8,1.0,0.2,0.8889,1.0,0.1111,5,5
Columbina_talpacoti,both,0.8,1.0,0.2,0.8,0.7,-0.1,0.8,0.8235,0.0235,10,10
Columnea_ceticeps,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Columnea_fuscihirta,both,0.6667,0.7143,0.0476,0.8,1.0,0.2,0.7273,0.8333,0.106,5,5
Columnea_strigosa,both,0.7143,0.8333,0.119,1.0,1.0,0.0,0.8333,0.9091,0.0758,5,5
Comparettia_falcata,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Conchylodes_bryophilalis,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Conirostrum_albifrons,both,0.8,1.0,0.2,0.8,0.8,0.0,0.8,0.8889,0.0889,5,5
Conirostrum_sitticolor,both,1.0,1.0,0.0,0.6,0.8,0.2,0.75,0.8889,0.1389,5,5
Consul_panariste,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Coprinellus_disseminatus,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Corades_chelonis,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Coragyps_atratus,both,0.8571,0.9231,0.066,1.0,1.0,0.0,0.9231,0.96,0.0369,12,12
Cornu_aspersum,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Crassocephalum_crepidioides,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Crocosmia_crocosmiiflora,both,1.0,0.6667,-0.3333,0.8,0.8,0.0,0.8889,0.7273,-0.1616,5,5
Crotophaga_ani,both,0.7778,0.875,0.0972,0.875,0.875,0.0,0.8235,0.875,0.0515,8,8
Crypturellus_soui,both,0.8333,0.8,-0.0333,1.0,0.8,-0.2,0.9091,0.8,-0.1091,5,5
Cupiennius_coccineus,both,0.8,0.6667,-0.1333,0.8,0.8,0.0,0.8,0.7273,-0.0727,5,5
Cyanocorax_affinis,both,0.8,0.8333,0.0333,0.8,1.0,0.2,0.8,0.9091,0.1091,5,5
Cyanocorax_yncas,both,0.7143,0.8333,0.119,1.0,1.0,0.0,0.8333,0.9091,0.0758,5,5
Cyanolyca_armillata,both,0.8,1.0,0.2,0.8,0.8,0.0,0.8,0.8889,0.0889,5,5
Cyanopepla_micans,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Cybdelis_mnasylus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Cyclarhis_nigrirostris,both,1.0,0.75,-0.25,0.6,0.6,0.0,0.75,0.6667,-0.0833,5,5
Cyclocephala_lunulata,both,1.0,0.8333,-0.1667,1.0,1.0,0.0,1.0,0.9091,-0.0909,5,5
Cyrtochilum_annulare,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Cyrtochilum_diceratum,both,1.0,0.8333,-0.1667,1.0,1.0,0.0,1.0,0.9091,-0.0909,5,5
Cyrtochilum_divaricatum,both,0.7143,0.8333,0.119,1.0,1.0,0.0,0.8333,0.9091,0.0758,5,5
Cyrtochilum_halteratum,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Cyrtochilum_murinum,both,1.0,0.7143,-0.2857,0.8,1.0,0.2,0.8889,0.8333,-0.0556,5,5
Cyrtochilum_scabiosum,both,1.0,1.0,0.0,1.0,0.8,-0.2,1.0,0.8889,-0.1111,5,5
Cyrtochilum_tricostatum,both,0.6667,0.8,0.1333,0.8,0.8,0.0,0.7273,0.8,0.0727,5,5
Danaus_plexippus,both,1.0,1.0,0.0,0.6,0.6,0.0,0.75,0.75,0.0,5,5
Dasyprocta_punctata,both,0.8333,0.7143,-0.119,1.0,1.0,0.0,0.9091,0.8333,-0.0758,5,5
Dendrobates_truncatus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Dendrocincla_fuliginosa,both,0.5714,0.625,0.0536,0.8,1.0,0.2,0.6667,0.7692,0.1025,5,5
Dendropsophus_columbianus,both,0.7,0.6154,-0.0846,0.7,0.8,0.1,0.7,0.6957,-0.0043,10,10
Diabrotica_decempunctata,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Diaethria_clymena,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Didelphis_marsupialis,both,1.0,0.8333,-0.1667,1.0,1.0,0.0,1.0,0.9091,-0.0909,5,5
Diglossa_albilatera,both,0.875,0.8182,-0.0568,0.7,0.9,0.2,0.7778,0.8571,0.0793,10,10
Diglossa_cyanea,both,0.875,1.0,0.125,0.9333,0.9333,0.0,0.9032,0.9655,0.0623,15,15
Diglossa_humeralis,both,0.75,1.0,0.25,0.6,0.4,-0.2,0.6667,0.5714,-0.0953,5,5
Diglossa_lafresnayii,both,0.6667,0.5,-0.1667,0.8,0.8,0.0,0.7273,0.6154,-0.1119,5,5
Dione_glycera,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Dipsas_sanctijoannis,both,1.0,1.0,0.0,0.6,0.8,0.2,0.75,0.8889,0.1389,5,5
Donacobius_atricapilla,both,0.8333,0.7143,-0.119,1.0,1.0,0.0,0.9091,0.8333,-0.0758,5,5
Doxocopa_cyane,both,1.0,1.0,0.0,0.8,1.0,0.2,0.8889,1.0,0.1111,5,5
Dracula_iricolor,both,0.6667,0.8,0.1333,0.8,0.8,0.0,0.7273,0.8,0.0727,5,5
Dryas_iulia,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Drymonia_lanceolata,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Dryocopus_lineatus,both,0.8,1.0,0.2,0.8,0.6,-0.2,0.8,0.75,-0.05,5,5
Dubusia_taeniata,both,0.6667,1.0,0.3333,0.8,0.8,0.0,0.7273,0.8889,0.1616,5,5
Egretta_thula,both,0.6667,0.6,-0.0667,0.8,0.6,-0.2,0.7273,0.6,-0.1273,5,5
Eira_barbara,both,1.0,1.0,0.0,0.4,0.6,0.2,0.5714,0.75,0.1786,5,5
Elaenia_flavogaster,both,0.6667,0.5,-0.1667,0.8,0.6,-0.2,0.7273,0.5455,-0.1818,5,5
Elaenia_frantzii,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Elanoides_forficatus,both,0.8,1.0,0.2,0.8,0.8,0.0,0.8,0.8889,0.0889,5,5
Elleanthus_aurantiacus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Elysius_atrata,both,1.0,1.0,0.0,0.8,1.0,0.2,0.8889,1.0,0.1111,5,5
Endrosis_sarcitrella,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Ensifera_ensifera,both,0.9333,0.9333,0.0,0.9333,0.9333,0.0,0.9333,0.9333,0.0,15,15
Epidendrum_cleistocoleum,both,1.0,0.8,-0.2,1.0,0.8,-0.2,1.0,0.8,-0.2,5,5
Epidendrum_cottoniiflorum,both,1.0,0.8,-0.2,1.0,0.8,-0.2,1.0,0.8,-0.2,5,5
Epidendrum_cylindrostachys,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
