gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5153064733	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/455407406/original.jpeg	https://www.inaturalist.org/photos/455407406					2024-01-29T23:03:57Z	David F. Fraser		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David F. Fraser
5153062540	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461545357/original.jpg	https://www.inaturalist.org/photos/461545357					2024-11-18T17:01:08Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153062540	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461545370/original.jpg	https://www.inaturalist.org/photos/461545370					2024-11-18T17:09:31Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153054834	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461546097/original.jpg	https://www.inaturalist.org/photos/461546097					2024-11-18T20:21:00Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153054833	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461544972/original.jpg	https://www.inaturalist.org/photos/461544972					2024-11-18T15:37:22Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153053908	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/481147589/original.jpg	https://www.inaturalist.org/photos/481147589					2025-01-31T01:14:05Z	Anneke Jonker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anneke Jonker
5153053908	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/489233853/original.jpeg	https://www.inaturalist.org/photos/489233853					2025-02-01T14:31:41Z	Anneke Jonker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anneke Jonker
5153053789	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/451721778/original.jpeg	https://www.inaturalist.org/photos/451721778					2024-10-27T04:10:16Z	Darrell Parsons		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Darrell Parsons
5153053789	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/451721769/original.jpeg	https://www.inaturalist.org/photos/451721769					2024-10-27T04:10:14Z	Darrell Parsons		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Darrell Parsons
5153052874	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/486328312/original.jpeg	https://www.inaturalist.org/photos/486328312					2025-01-31T22:04:17Z	Anneke Jonker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anneke Jonker
5153050240	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/491901989/original.jpeg	https://www.inaturalist.org/photos/491901989					2025-04-10T00:32:15Z	auk1967		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	auk1967
5153048557	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/427485628/original.jpg	https://www.inaturalist.org/photos/427485628					2021-11-05T00:22:43Z	andreskiller		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	andreskiller
5153048557	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/427486968/original.jpg	https://www.inaturalist.org/photos/427486968					2021-11-05T20:17:35Z	andreskiller		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	andreskiller
5153048553	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/424426583/original.jpeg	https://www.inaturalist.org/photos/424426583					2024-08-28T00:57:33Z	d_osorio		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	d_osorio
5153045794	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461066063/original.jpg	https://www.inaturalist.org/photos/461066063					2024-11-19T21:01:32Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153045794	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461066061/original.jpg	https://www.inaturalist.org/photos/461066061					2024-11-19T21:01:07Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153045460	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/258556296/original.jpg	https://www.inaturalist.org/photos/258556296					2023-02-08T21:54:15Z	Delmar W. Bachert		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Delmar W. Bachert
5153041505	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/452594405/original.jpg	https://www.inaturalist.org/photos/452594405					2024-07-03T19:10:53Z	Allen Chartier		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Allen Chartier
