species,precision,recall,f1_score,support
Colobura_dirce,0.7143,1.0,0.8333,5
Colonia_colonus,1.0,1.0,1.0,5
Columbina_talpacoti,1.0,0.7,0.8235,10
Columnea_ceticeps,1.0,1.0,1.0,5
Columnea_fuscihirta,0.7143,1.0,0.8333,5
Columnea_strigosa,0.8333,1.0,0.9091,5
Comparettia_falcata,0.7143,1.0,0.8333,5
Conchylodes_bryophilalis,1.0,1.0,1.0,5
Conirostrum_albifrons,1.0,0.8,0.8889,5
Conirostrum_sitticolor,1.0,0.8,0.8889,5
Consul_panariste,1.0,0.8,0.8889,5
Coprinellus_disseminatus,0.7143,1.0,0.8333,5
Corades_chelonis,1.0,1.0,1.0,5
Coragyps_atratus,0.9231,1.0,0.96,12
Cornu_aspersum,1.0,0.8,0.8889,5
Crassocephalum_crepidioides,1.0,1.0,1.0,5
Crocosmia_crocosmiiflora,0.6667,0.8,0.7273,5
Crotophaga_ani,0.875,0.875,0.875,8
Crypturellus_soui,0.8,0.8,0.8,5
Cupiennius_coccineus,0.6667,0.8,0.7273,5
Cyanocorax_affinis,0.8333,1.0,0.9091,5
Cyanocorax_yncas,0.8333,1.0,0.9091,5
Cyanolyca_armillata,1.0,0.8,0.8889,5
Cyanopepla_micans,1.0,1.0,1.0,5
Cybdelis_mnasylus,1.0,1.0,1.0,5
Cyclarhis_nigrirostris,0.75,0.6,0.6667,5
Cyclocephala_lunulata,0.8333,1.0,0.9091,5
Cyrtochilum_annulare,1.0,0.8,0.8889,5
Cyrtochilum_diceratum,0.8333,1.0,0.9091,5
Cyrtochilum_divaricatum,0.8333,1.0,0.9091,5
Cyrtochilum_halteratum,1.0,1.0,1.0,5
Cyrtochilum_murinum,0.7143,1.0,0.8333,5
Cyrtochilum_scabiosum,1.0,0.8,0.8889,5
Cyrtochilum_tricostatum,0.8,0.8,0.8,5
Danaus_plexippus,1.0,0.6,0.75,5
Dasyprocta_punctata,0.7143,1.0,0.8333,5
Dendrobates_truncatus,1.0,1.0,1.0,5
Dendrocincla_fuliginosa,0.625,1.0,0.7692,5
Dendropsophus_columbianus,0.6154,0.8,0.6957,10
Diabrotica_decempunctata,1.0,1.0,1.0,5
Diaethria_clymena,1.0,1.0,1.0,5
Didelphis_marsupialis,0.8333,1.0,0.9091,5
Diglossa_albilatera,0.8182,0.9,0.8571,10
Diglossa_cyanea,1.0,0.9333,0.9655,15
Diglossa_humeralis,1.0,0.4,0.5714,5
Diglossa_lafresnayii,0.5,0.8,0.6154,5
Dione_glycera,0.8333,1.0,0.9091,5
Dipsas_sanctijoannis,1.0,0.8,0.8889,5
Donacobius_atricapilla,0.7143,1.0,0.8333,5
Doxocopa_cyane,1.0,1.0,1.0,5
Dracula_iricolor,0.8,0.8,0.8,5
Dryas_iulia,0.8,0.8,0.8,5
Drymonia_lanceolata,1.0,0.8,0.8889,5
Dryocopus_lineatus,1.0,0.6,0.75,5
Dubusia_taeniata,1.0,0.8,0.8889,5
Egretta_thula,0.6,0.6,0.6,5
Eira_barbara,1.0,0.6,0.75,5
Elaenia_flavogaster,0.5,0.6,0.5455,5
Elaenia_frantzii,1.0,1.0,1.0,5
Elanoides_forficatus,1.0,0.8,0.8889,5
Elleanthus_aurantiacus,1.0,1.0,1.0,5
Elysius_atrata,1.0,1.0,1.0,5
Endrosis_sarcitrella,0.7143,1.0,0.8333,5
Ensifera_ensifera,0.9333,0.9333,0.9333,15
Epidendrum_cleistocoleum,0.8,0.8,0.8,5
Epidendrum_cottoniiflorum,0.8,0.8,0.8,5
Epidendrum_cylindrostachys,1.0,1.0,1.0,5
Epidendrum_fimbriatum,0.8182,0.9,0.8571,10
Epidendrum_melinanthum,1.0,0.6,0.75,5
Epidendrum_porphyreum,1.0,1.0,1.0,5
Epidendrum_posadarum,0.8333,1.0,0.9091,5
Epiphile_chrysites,1.0,1.0,1.0,5
Epiphile_epimenes,1.0,0.8,0.8889,5
Equisetum_bogotense,0.8,0.8,0.8,5
Erato_vulcanica,1.0,0.8,0.8889,5
Eresia_clio,1.0,1.0,1.0,5
Erinnyis_ello,1.0,1.0,1.0,5
Eriocnemis_derbyi,1.0,0.4,0.5714,5
Eriocnemis_mosquera,0.7273,1.0,0.8421,8
Eriophora_edax,1.0,1.0,1.0,5
Eryphanis_lycomedon,1.0,0.8,0.8889,5
Erythrolamprus_bizona,0.8,0.8,0.8,5
Erythrolamprus_epinephalus,0.6667,0.4,0.5,5
Erythrolamprus_epinephelus,1.0,0.6,0.75,5
Espadarana_prosoblepon,0.8,0.8,0.8,5
Espeletia_hartwegiana,1.0,1.0,1.0,5
Eubucco_bourcierii,1.0,1.0,1.0,5
Eudocima_procus,0.8,0.8,0.8,5
Eueides_procula,1.0,1.0,1.0,5
Eulaema_cingulata,0.8,0.8,0.8,5
Eulaema_meriana,1.0,0.8,0.8889,5
Eulaema_polychroma,1.0,0.8,0.8889,5
Euphonia_cyanocephala,0.8333,1.0,0.9091,5
Euphonia_laniirostris,0.8182,0.8182,0.8182,11
Euphonia_xanthogaster,0.8333,1.0,0.9091,5
Euphorbia_hirta,1.0,0.6,0.75,5
Euptychoides_saturnus,0.8333,1.0,0.9091,5
Euryglottis_aper,1.0,1.0,1.0,5
Falco_sparverius,1.0,0.6,0.75,5
Florisuga_mellivora,1.0,1.0,1.0,7
Fluvicola_pica,0.8,0.8,0.8,5
Forpus_conspicillatus,1.0,0.8889,0.9412,9
Fuchsia_boliviana,1.0,1.0,1.0,5
Fuchsia_nigricans,0.5,0.8,0.6154,5
Fuchsia_petiolaris,0.5,0.4,0.4444,5
Gaiadendron_punctatum,0.6667,0.4,0.5,5
Galium_hypocarpium,0.8,0.8,0.8,5
Gallinula_chloropus,1.0,1.0,1.0,5
Gasteracantha_cancriformis,0.7143,1.0,0.8333,5
Gaultheria_myrsinoides,0.8333,1.0,0.9091,5
Gentiana_sedifolia,0.8,0.8,0.8,5
Geonoma_undata,0.7143,1.0,0.8333,5
Geospizopsis_unicolor,0.8333,1.0,0.9091,5
