================================================================================
  CLASSIFICATION REPORT - BioPlatform Caldas CNN
================================================================================

  Overall Accuracy:   0.8520 (85.2%)
  Top 5 Accuracy: 0.9453 (94.5%)
  Total Test Samples: 4,386
  Number of Classes:  719

────────────────────────────────────────────────────────────────────────────────
  F1-SCORE THRESHOLD SUMMARY  (F1 = harmonic mean of Precision & Recall)
────────────────────────────────────────────────────────────────────────────────
  F1 >= 0.9               =   288 species
  F1 >= 0.7 & < 0.9       =   331 species
  F1 >= 0.5 & < 0.7       =    85 species
  F1 < 0.5                =    15 species
────────────────────────────────────────────────────────────────────────────────

────────────────────────────────────────────────────────────────────────────────
  ▸ F1 >= 0.9  (288 species)
────────────────────────────────────────────────────────────────────────────────
  Species                                   Precision     Recall         F1    Support
  Heliconius_erato                             1.0000     0.8571     0.9231          7
  Heliodoxa_rubinoides                         1.0000     0.9167     0.9565         12
  Hellmayrea_gularis                           0.8750     1.0000     0.9333          7
  Hemithraupis_guira                           1.0000     1.0000     1.0000          5
  Hermeuptychia_harmonia                       1.0000     1.0000     1.0000          5
  Herpothallon_rubrocinctum                    0.8333     1.0000     0.9091          5
  Heterogomphus_schoenherri                    1.0000     0.8571     0.9231          7
  Hypanartia_kefersteini                       1.0000     1.0000     1.0000          5
  Hypopyrrhus_pyrohypogaster                   0.8333     1.0000     0.9091          5
  Ipomoea_purpurea                             0.8333     1.0000     0.9091          5
  Iridosornis_porphyrocephalus                 1.0000     1.0000     1.0000          5
  Iridosornis_rufivertex                       0.8333     1.0000     0.9091          5
  Ithomia_iphianassa                           1.0000     1.0000     1.0000          5
  Janatella_fellula                            1.0000     1.0000     1.0000          5
  Junonia_evarete                              1.0000     1.0000     1.0000          5
  Kinosternon_leucostomum                      0.8333     1.0000     0.9091          5
  Kohleria_inaequalis                          0.8333     1.0000     0.9091          5
  Kohleria_warszewiczii                        0.8333     1.0000     0.9091          5
  Lafresnaya_lafresnayi                        0.9000     0.9000     0.9000         10
  Langucys_nigropuncta                         1.0000     1.0000     1.0000          5
  Lepanthes_jardinensis                        0.8333     1.0000     0.9091          5
  Lepanthes_tachirensis                        1.0000     1.0000     1.0000          5
  Leptopogon_rufipectus                        0.8333     1.0000     0.9091          5
  Leptosittaca_branickii                       1.0000     0.8333     0.9091          6
  Lipaugus_fuscocinereus                       1.0000     1.0000     1.0000          5
  Lissachatina_fulica                          1.0000     1.0000     1.0000          5
  Lycorea_cleobaea                             1.0000     1.0000     1.0000          5
  Malacoptila_mystacalis                       1.0000     1.0000     1.0000          9
  Malaveria_rodriguezi                         1.0000     1.0000     1.0000          5
  Manacus_vitellinus                           0.8750     1.0000     0.9333          7
  Manduca_rustica                              1.0000     1.0000     1.0000          5
  Markia_hystrix                               1.0000     1.0000     1.0000          5
  Marpesia_berania                             1.0000     1.0000     1.0000          5
  Marpesia_corinna                             0.8333     1.0000     0.9091          5
  Maruca_vitrata                               0.8333     1.0000     0.9091          5
  Masdevallia_amanda                           0.8333     1.0000     0.9091          5
  Masdevallia_heteroptera                      1.0000     1.0000     1.0000          5
  Masdevallia_hortensis                        1.0000     1.0000     1.0000          5
  Maxillaria_lepidota                          0.8333     1.0000     0.9091          5
  Mechanitis_polymnia                          1.0000     1.0000     1.0000          5
  Melanerpes_formicivorus                      0.9167     0.9167     0.9167         12
  Melanerpes_rubricapillus                     0.8333     1.0000     0.9091         10
  Melanis_pixe                                 1.0000     1.0000     1.0000          5
  Melipona_nigrescens                          1.0000     1.0000     1.0000          5
  Memphis_lyceus                               1.0000     1.0000     1.0000          5
  Menemerus_bivittatus                         1.0000     1.0000     1.0000          6
  Merganetta_armata                            0.8333     1.0000     0.9091          5
