================================================================================
  CLASSIFICATION REPORT - BioPlatform Caldas CNN
================================================================================

  Overall Accuracy:   0.8739 (87.4%)
  Top 5 Accuracy: 0.9514 (95.1%)
  Total Test Samples: 4,386
  Number of Classes:  719

────────────────────────────────────────────────────────────────────────────────
  F1-SCORE THRESHOLD SUMMARY  (F1 = harmonic mean of Precision & Recall)
────────────────────────────────────────────────────────────────────────────────
  F1 >= 0.9               =   337 species
  F1 >= 0.7 & < 0.9       =   300 species
  F1 >= 0.5 & < 0.7       =    71 species
  F1 < 0.5                =    11 species
────────────────────────────────────────────────────────────────────────────────

────────────────────────────────────────────────────────────────────────────────
  ▸ F1 >= 0.9  (337 species)
────────────────────────────────────────────────────────────────────────────────
  Species                                   Precision     Recall         F1    Support
  Heliconia_latispatha                         0.8333     1.0000     0.9091          5
  Heliconius_charithonia                       1.0000     1.0000     1.0000          5
  Heliconius_clysonymus                        1.0000     1.0000     1.0000          5
  Heliconius_cydno                             1.0000     1.0000     1.0000          6
  Heliconius_erato                             1.0000     0.8571     0.9231          7
  Heliodoxa_rubinoides                         1.0000     0.9167     0.9565         12
  Hellmayrea_gularis                           0.8750     1.0000     0.9333          7
  Hemithraupis_guira                           0.8333     1.0000     0.9091          5
  Herpothallon_rubrocinctum                    1.0000     1.0000     1.0000          5
  Heterogomphus_schoenherri                    1.0000     1.0000     1.0000          7
  Hypanartia_kefersteini                       1.0000     1.0000     1.0000          5
  Hypanartia_lethe                             0.8333     1.0000     0.9091          5
  Hypopyrrhus_pyrohypogaster                   0.8333     1.0000     0.9091          5
  Iridosornis_porphyrocephalus                 1.0000     1.0000     1.0000          5
  Iridosornis_rufivertex                       1.0000     1.0000     1.0000          5
  Ithomia_iphianassa                           1.0000     1.0000     1.0000          5
  Janatella_fellula                            1.0000     1.0000     1.0000          5
  Junonia_evarete                              1.0000     1.0000     1.0000          5
  Kinosternon_leucostomum                      0.8333     1.0000     0.9091          5
  Kleinothraupis_atropileus                    1.0000     0.8333     0.9091          6
  Kohleria_affinis                             1.0000     0.8750     0.9333          8
  Kohleria_inaequalis                          1.0000     1.0000     1.0000          5
  Kohleria_spicata                             0.8333     1.0000     0.9091          5
  Kohleria_warszewiczii                        1.0000     1.0000     1.0000          5
  Kukulcania_hibernalis                        0.8333     1.0000     0.9091          5
  Lafresnaya_lafresnayi                        0.8333     1.0000     0.9091         10
  Langucys_nigropuncta                         1.0000     1.0000     1.0000          5
  Lasiophila_prosymna                          1.0000     0.8571     0.9231          7
  Lepanthes_gargantua                          1.0000     1.0000     1.0000          5
  Lepanthes_tachirensis                        0.8333     1.0000     0.9091          5
  Leptopogon_rufipectus                        1.0000     1.0000     1.0000          5
  Leuconotopicus_fumigatus                     0.8333     1.0000     0.9091          5
  Lipaugus_fuscocinereus                       1.0000     1.0000     1.0000          5
  Lissachatina_fulica                          1.0000     1.0000     1.0000          5
  Lycomedes_hirtipes                           1.0000     1.0000     1.0000          5
  Lycorea_cleobaea                             0.8333     1.0000     0.9091          5
  Machaeropterus_deliciosus                    1.0000     1.0000     1.0000          5
  Magnolia_yarumalensis                        0.8333     1.0000     0.9091          5
  Malacoptila_mystacalis                       0.9000     1.0000     0.9474          9
  Malaveria_rodriguezi                         1.0000     1.0000     1.0000          5
  Markia_hystrix                               1.0000     1.0000     1.0000          5
  Marpesia_berania                             1.0000     1.0000     1.0000          5
  Marpesia_corinna                             1.0000     1.0000     1.0000          5
  Maruca_vitrata                               1.0000     1.0000     1.0000          5
  Masdevallia_amanda                           1.0000     1.0000     1.0000          5
  Masdevallia_heteroptera                      0.8333     1.0000     0.9091          5
  Maxillaria_embreei                           0.8333     1.0000     0.9091          5
  Maxillaria_lepidota                          0.8333     1.0000     0.9091          5
  Mechanitis_polymnia                          1.0000     1.0000     1.0000          5
  Melanerpes_formicivorus                      0.8571     1.0000     0.9231         12
  Melanis_pixe                                 1.0000     1.0000     1.0000          5
  Melipona_nigrescens                          0.8333     1.0000     0.9091          5
  Memphis_lyceus                               1.0000     1.0000     1.0000          5
  Menemerus_bivittatus                         1.0000     1.0000     1.0000          6
  Merganetta_armata                            0.8333     1.0000     0.9091          5
  Mesothen_nomia                               1.0000     1.0000     1.0000          5
  Miconia_aeruginosa                           1.0000     1.0000     1.0000          5
  Miconia_salicifolia                          1.0000     1.0000     1.0000          5
  Miconia_trichocalyx                          1.0000     1.0000     1.0000          5
  Micrathena_lucasi                            1.0000     1.0000     1.0000          5
  Mimoniades_nurscia                           0.8333     1.0000     0.9091          5
  Mniotilta_varia                              1.0000     1.0000     1.0000          5
  Momordica_charantia                          1.0000     1.0000     1.0000          5
  Momotus_aequatorialis                        1.0000     0.9333     0.9655         15
  Monochaetum_multiflorum                      0.8333     1.0000     0.9091          5
  Morpho_sulkowskyi                            1.0000     1.0000     1.0000          5
  Myiothlypis_fulvicauda                       1.0000     1.0000     1.0000          5
  Mythimna_unipuncta                           1.0000     1.0000     1.0000          5
  Necyria_bellona                              1.0000     1.0000     1.0000          5
  Nyctibius_griseus                            0.8333     1.0000     0.9091          5
  Ochthoeca_cinnamomeiventris                  1.0000     1.0000     1.0000          5
  Ochthoeca_diadema                            1.0000     0.9167     0.9565         12
  Ochthoeca_frontalis                          1.0000     1.0000     1.0000          5
  Ochthoeca_fumicolor                          1.0000     1.0000     1.0000          5
  Ognorhynchus_icterotis                       0.8333     1.0000     0.9091          5
  Oncidium_cultratum                           1.0000     1.0000     1.0000          5
  Oncidium_lehmannii                           1.0000     1.0000     1.0000          5
  Oncidium_ornithorhynchum                     1.0000     0.8571     0.9231          7
  Opsiphanes_quiteria                          1.0000     1.0000     1.0000          5
  Oressinoma_typhla                            1.0000     1.0000     1.0000          5
  Orthrosanthus_chimboracensis                 0.8333     1.0000     0.9091          5
  Oxypogon_stuebelii                           0.8750     1.0000     0.9333          7
  Oxysternon_conspicillatum                    1.0000     1.0000     1.0000          5
  Pachystachys_lutea                           1.0000     1.0000     1.0000          5
  Palicourea_colorata                          1.0000     1.0000     1.0000          5
  Pantherodes_pardalaria                       0.8333     1.0000     0.9091          5
  Paramastax_rosenbergi                        1.0000     1.0000     1.0000          5
  Parataygetis_lineata                         1.0000     1.0000     1.0000          5
  Pareuptychia_metaleuca                       0.8333     1.0000     0.9091          5
  Passiflora_adenopoda                         0.8333     1.0000     0.9091          5
  Passiflora_mixta                             0.8333     1.0000     0.9091          5
  Pedaliodes_peucestas                         0.8333     1.0000     0.9091          5
  Pelecinus_polyturator                        1.0000     1.0000     1.0000          5
  Penelope_montagnii                           0.8750     1.0000     0.9333         14
  Phaethornis_guy                              1.0000     1.0000     1.0000          5
  Pharomachrus_auriceps                        1.0000     1.0000     1.0000          5
  Pheucticus_ludovicianus                      1.0000     1.0000     1.0000          5
  Phytolacca_rugosa                            0.8333     1.0000     0.9091          5
  Piper_lanceifolium                           0.8333     1.0000     0.9091          5
  Piper_peltatum                               0.8333     1.0000     0.9091          5
  Pipra_erythrocephala                         1.0000     1.0000     1.0000          5
  Pipreola_arcuata                             1.0000     1.0000     1.0000         10
  Pipreola_jucunda                             1.0000     1.0000     1.0000          5
  Pipreola_riefferii                           1.0000     0.9333     0.9655         15
  Piranga_rubra                                1.0000     1.0000     1.0000         15
  Pleurothallis_cordata                        1.0000     1.0000     1.0000          5
  Pleurothallis_matudana                       0.8333     1.0000     0.9091          5
  Pleurothallis_pulvinaris                     1.0000     1.0000     1.0000          5
  Podotricha_judith                            0.8333     1.0000     0.9091          5
  Poecilotriccus_ruficeps                      0.9231     1.0000     0.9600         12
  Polistes_carnifex                            1.0000     1.0000     1.0000          5
  Ponthieva_fertilis                           0.8333     1.0000     0.9091          5
  Porphyrobaphe_iris                           1.0000     1.0000     1.0000          5
  Potentilla_indica                            1.0000     1.0000     1.0000          5
  Psalidognathus_modestus                      0.8333     1.0000     0.9091          5
  Pseudohaetera_hypaesia                       1.0000     1.0000     1.0000          5
  Pseudosphinx_tetrio                          1.0000     1.0000     1.0000          5
  Pteroglossus_torquatus                       1.0000     1.0000     1.0000          5
  Pterophanes_cyanopterus                      1.0000     0.9333     0.9655         15
  Pterostemma_antioquiense                     1.0000     1.0000     1.0000          5
  Pulsatrix_perspicillata                      1.0000     1.0000     1.0000          5
  Pyrrhomyias_cinnamomeus                      1.0000     1.0000     1.0000         14
  Pythonides_jovianus                          1.0000     1.0000     1.0000          5
  Ramphastos_citreolaemus                      1.0000     1.0000     1.0000          5
  Ramphocelus_dimidiatus                       1.0000     1.0000     1.0000          8
  Raphiocera_ornata                            1.0000     1.0000     1.0000          5
  Rhinella_horribilis                          1.0000     1.0000     1.0000          5
  Rhodobaenus_augustinus                       1.0000     1.0000     1.0000          5
  Rhytidochrota_risaraldae                     1.0000     1.0000     1.0000          5
  Rodriguezia_lanceolata                       1.0000     1.0000     1.0000          5
  Rubus_nubigenus                              1.0000     1.0000     1.0000          5
  Saguinus_leucopus                            1.0000     1.0000     1.0000          5
  Saltator_atripennis                          1.0000     1.0000     1.0000          5
  Saltator_cinctus                             0.8333     1.0000     0.9091          5
  Sayornis_nigricans                           1.0000     1.0000     1.0000          9
  Scaphyglottis_aurea                          1.0000     1.0000     1.0000          5
  Sciurus_granatensis                          0.9375     1.0000     0.9677         15
  Senecio_niveoaureus                          1.0000     1.0000     1.0000          5
  Sericoptera_mahometaria                      1.0000     1.0000     1.0000          5
  Serpocaulon_levigatum                        1.0000     1.0000     1.0000          5
  Setophaga_pitiayumi                          0.8333     1.0000     0.9091          5
  Sibovia_prodigiosa                           1.0000     1.0000     1.0000          5
  Solanum_vestissimum                          1.0000     1.0000     1.0000          5
  Sphacelodes_vulneraria                       1.0000     1.0000     1.0000          5
  Sporophila_intermedia                        1.0000     1.0000     1.0000          5
  Sporophila_nigricollis                       0.8571     1.0000     0.9231          6
  Stagmatoptera_septentrionalis                0.8333     1.0000     0.9091          5
  Stilpnia_cyanicollis                         1.0000     0.8889     0.9412          9
  Stilpnia_heinei                              1.0000     0.8889     0.9412          9
  Streptosolen_jamesonii                       1.0000     1.0000     1.0000          5
  Sylvilagus_andinus                           1.0000     1.0000     1.0000          5
  Tangara_arthus                               1.0000     0.8571     0.9231          7
  Tangara_labradorides                         1.0000     1.0000     1.0000          5
  Tangara_nigroviridis                         0.8750     1.0000     0.9333          7
  Tangara_vassorii                             1.0000     1.0000     1.0000          5
  Tegosa_anieta                                1.0000     1.0000     1.0000          5
  Tetragonisca_angustula                       0.8333     1.0000     0.9091          5
  Thalurania_colombica                         1.0000     1.0000     1.0000          5
  Thraupis_palmarum                            1.0000     0.9091     0.9524         11
  Thunbergia_alata                             0.8333     1.0000     0.9091         10
  Tiaris_olivaceus                             1.0000     1.0000     1.0000          5
  Tityra_semifasciata                          1.0000     1.0000     1.0000          5
  Todirostrum_cinereum                         0.8333     1.0000     0.9091          5
  Tournefortiopsis_crispiflora                 1.0000     1.0000     1.0000          5
  Trichonephila_clavipes                       1.0000     1.0000     1.0000          5
  Trifolium_pratense                           0.8333     1.0000     0.9091          5
  Trifolium_repens                             1.0000     1.0000     1.0000          5
  Troglodytes_musculus                         1.0000     1.0000     1.0000          7
  Troglodytes_solstitialis                     1.0000     1.0000     1.0000          8
  Trogon_personatus                            1.0000     0.8889     0.9412          9
  Turdus_fuscater                              1.0000     1.0000     1.0000         15
  Turnera_subulata                             0.8333     1.0000     0.9091          5
  Tyrannus_melancholicus                       0.8824     1.0000     0.9375         15
  Urania_fulgens                               1.0000     1.0000     1.0000          5
  Uranomitra_franciae                          0.8750     1.0000     0.9333          7
  Urosticte_benjamini                          1.0000     1.0000     1.0000          5
  Vanessa_braziliensis                         1.0000     1.0000     1.0000          5
  Vanessa_carye                                1.0000     1.0000     1.0000          9
  Voyria_tenella                               1.0000     1.0000     1.0000          5
  Zelus_longipes                               0.8333     1.0000     0.9091          5
  Zimmerius_chrysops                           1.0000     1.0000     1.0000          5
  Zingiber_spectabile                          0.9000     1.0000     0.9474          9
  Zonotrichia_capensis                         0.9375     1.0000     0.9677         15

────────────────────────────────────────────────────────────────────────────────
  ▸ F1 >= 0.7 & < 0.9  (300 species)
────────────────────────────────────────────────────────────────────────────────
  Species                                   Precision     Recall         F1    Support
────────────────────────────────────────────────────────────────────────────────
  Abracris_flavolineata                        0.6667     0.8000     0.7273          5
  Adelomyia_melanogenys                        1.0000     0.7500     0.8571         12
  Aglaiocercus_coelestis                       1.0000     0.8000     0.8889          5
