scientific_name,sources,in_cnn_dataset,sib_id,threat_status,thumbnail_url
Columnea picta,sib_caldas,False,5fda7e4948bbf8d60b1311be,,https://inaturalist-open-data.s3.amazonaws.com/photos/13135179/large.jpg
Columnea strigosa,dataset|sib_caldas,True,56cf10f23c16479905cba7c1,,https://inaturalist-open-data.s3.amazonaws.com/photos/175842452/original.jpg
Comparettia falcata,dataset,True,,,
Conchylodes bryophilalis,dataset,True,,,
Conirostrum albifrons,dataset,True,,,
Conirostrum sitticolor,dataset,True,,,
Consul panariste,dataset,True,,,
Contopus cinereus,sib_caldas,False,56c4da98f0106c67230e738c,Preocupación menor (LC),https://upload.wikimedia.org/wikipedia/commons/7/72/Contopus_cinereus_cinereus_-_Tropical_Pewee%3B_Ubatuba%2C_S%C3%A3o_Paulo%2C_Brazil.jpg
Contopus cooperi,sib_caldas,False,56c4e00cf0106c67230e738d,Casi amenazado (NT),https://upload.wikimedia.org/wikipedia/commons/5/5e/Olive-sided_Flycatcher_%2833585416604%29.jpg
Contopus fumigatus,sib_caldas,False,56c4e738f0106c67230e738e,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/d/d6/Contopus_fumigatus%2C_Smoke-colored_Pewee.jpg
Contopus sordidulus,sib_caldas,False,56c4eb5df0106c67230e738f,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/180472315/large.jpeg
Contopus virens,sib_caldas,False,56c4f1d4f0106c67230e7391,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/116446539/original.jpeg
Cookeina speciosa,sib_caldas,False,63acc7c5a55b3a77ee95abd7,,https://upload.wikimedia.org/wikipedia/commons/6/61/Cookeina_speciosa1.jpg
Coprinellus disseminatus,dataset|sib_caldas,True,63a4b754f16d882f7b475149,,https://images.mushroomobserver.org/orig/1511199.jpg
Coprinopsis atramentaria,sib_caldas,False,63a4b762f16d882f7b4751c1,,https://inaturalist-open-data.s3.amazonaws.com/photos/176427265/original.jpg
Corades chelonis,dataset,True,,,
Coragyps atratus,dataset|sib_caldas,True,56c4fe28f0106c67230e7394,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/9/9d/Coragyps-atratus-001.jpg
Cordia alliodora,sib_caldas,False,593ffd102f4fd7bc7f38ba2f,,https://static.inaturalist.org/photos/123557660/large.jpg
Cordylancistrus daguae,sib_caldas,False,59ef89ed5f3693434430e7ad,Preocupación menor (LC),http://repository.humboldt.org.co/bitstream/handle/20.500.11761/33382/40061.JPG
Coriaria ruscifolia,sib_caldas,False,56cf137a3c16479905cba7c3,Preocupación menor (LC),https://upload.wikimedia.org/wikipedia/commons/6/6f/Coriaria_ruscifolia_subsp_microphylla_Irazu_2.jpg
Cornu aspersum,dataset,True,,,
Cortaderia nitida,sib_caldas,False,56cf1cfb3c16479905cba7c5,,https://inaturalist-open-data.s3.amazonaws.com/photos/37572242/original.jpeg
Corydalus,sib_caldas,False,56ddfeeb83c45700544e3bec,,https://inaturalist-open-data.s3.amazonaws.com/photos/110289797/original.jpg
Costus pulverulentus,sib_caldas,False,56da09993c16479905cba9d1,,http://upload.wikimedia.org/wikipedia/commons/5/5d/Costus_pulverulentus_1.jpg
Couma macrocarpa,sib_caldas,False,56e779f183c45700544e402b,No evaluado (NE),http://upload.wikimedia.org/wikipedia/commons/0/04/Couma_macrocarpa.JPG
Crassocephalum crepidioides,dataset,True,,,
Craugastor longirostris,sib_caldas,False,56d1022e3c16479905cba83d,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/10429621/large.jpeg
Crocosmia crocosmiiflora,dataset,True,,,
Croton leptostachyus,sib_caldas,False,595a9dfa2f4fd7bc7f39e982,,https://live.staticflickr.com/3890/14365803283_128c4cd73d_b.jpg
Crotophaga ani,dataset|sib_caldas,True,56c509b0f0106c67230e7396,Preocupación menor (LC),https://upload.wikimedia.org/wikipedia/commons/0/0e/Crotophaga-ani-001.jpg
Crotophaga major,sib_caldas,False,56c5105af0106c67230e7397,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/d/d9/Crotophaga_major_%28Greater_Ani%29.jpg
Crotophaga sulcirostris,sib_caldas,False,56e79e9583c45700544e4248,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/5/54/Crotophaga_sulcirostris_CR_bis.JPG
Crypturellus soui,dataset,True,,,
Cupiennius coccineus,dataset,True,,,
Curicta,sib_caldas,False,56de044c83c45700544e3bee,,https://inaturalist-open-data.s3.amazonaws.com/photos/3592812/large.JPG
Cyanocorax affinis,dataset,True,,,
Cyanocorax yncas,dataset,True,,,
Cyanolyca armillata,dataset,True,,,
Cyanopepla micans,dataset,True,,,
Cyathea caracasana,sib_caldas,False,56ddf6e683c45700544e3be6,,https://inaturalist-open-data.s3.amazonaws.com/photos/179939677/large.jpg
Cybdelis mnasylus,dataset,True,,,
Cyclarhis nigrirostris,dataset,True,,,
Cyclocephala lunulata,dataset,True,,,
Cymatoderma elegans,sib_caldas,False,63a4da54600aa6dc7fccce0b,,https://storage.googleapis.com/mo-image-archive-bucket/orig/1070869.jpg
Cynodon nlemfuensis,sib_caldas,False,56e77b6483c45700544e4035,,https://inaturalist-open-data.s3.amazonaws.com/photos/56700332/original.jpeg
Cynodonichthys boehlkei,sib_caldas,False,59dffc855f36934344302a52,,https://images.phylopic.org/images/35dac003-e0f9-4f52-970c-2c42d5efb719/raster/1024x473.png
Cynodonichthys magdalenae,sib_caldas,False,596fa9de2f4fd7bc7f3a5d8a,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/72240117/original.jpeg
Cyphocharax magdalenae,sib_caldas,False,596f97c72f4fd7bc7f3a5bac,,https://inaturalist-open-data.s3.amazonaws.com/photos/122376293/original.jpg
Cyrtochilum annulare,dataset,True,,,
Cyrtochilum diceratum,dataset,True,,,
Cyrtochilum dipterum,sib_caldas,False,56de29b983c45700544e3c06,Vulnerable (VU),https://inaturalist-open-data.s3.amazonaws.com/photos/22155880/original.jpeg
Cyrtochilum divaricatum,dataset,True,,,
Cyrtochilum halteratum,dataset,True,,,
Cyrtochilum murinum,dataset,True,,,
Cyrtochilum scabiosum,dataset|sib_caldas,True,61e5b82f182759fd3656a572,,https://images.phylopic.org/images/bb459b30-2370-4b7f-a1f9-f0d836aa35d1/raster/534x570.png
Cyrtochilum tenense,sib_caldas,False,61e5b883182759fd3656a5a8,,https://images.phylopic.org/images/bb459b30-2370-4b7f-a1f9-f0d836aa35d1/raster/534x570.png
Cyrtochilum tricostatum,dataset,True,,,
Dacryopinax spathularia,sib_caldas,False,63b308afb30e341210028750,,https://images.mushroomobserver.org/orig/1493666.jpg
Danaus plexippus,dataset,True,,,
Dasyloricaria paucisquama,sib_caldas,False,59dcf87f5f36934344300263,,https://www.suedamerikafans.de/loricariidae/dasyloricaria/paucisquama/paucisquama_01.jpg
Dasyprocta punctata,dataset,True,,,
Dasypus novemcinctus,sib_caldas,False,56c49e32f0106c67230e7382,Preocupación menor (LC),
Deltochilum hypponum,sib_caldas,False,56e76ae383c45700544e3fe0,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-E/IAvH-E-16958/IAvH-E-16958_Dorsal.JPG
Deltochilum lobipes,sib_caldas,False,56e76b2083c45700544e3fe1,,https://inaturalist-open-data.s3.amazonaws.com/photos/8183681/original.jpeg
Dendrobates opisthomelas,sib_caldas,False,56caa546f0106c67230e746f,Vulnerable (VU),https://inaturalist-open-data.s3.amazonaws.com/photos/217272610/large.jpeg
Dendrobates truncatus,dataset,True,,,
Dendrocincla fuliginosa,dataset,True,,,
Dendrocygna autumnalis,sib_caldas,False,56c51ad1f0106c67230e7398,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/3/34/Whistling_duck_flight02_-_natures_pics.jpg
Dendrocygna viduata,sib_caldas,False,56c52405f0106c67230e7399,Preocupación menor (LC),https://upload.wikimedia.org/wikipedia/commons/b/bf/Dendrocygna_viduata_001.jpg
Dendrophthora clavata,sib_caldas,False,56cfaf983c16479905cba7f8,,https://inaturalist-open-data.s3.amazonaws.com/photos/243293264/large.jpeg
Dendropsophus columbianus,dataset|sib_caldas,True,5ce813878fe61bf73db11518,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/175750536/original.jpg
Desfontainia spinosa,sib_caldas,False,56cfbad43c16479905cba7fc,,https://inaturalist-open-data.s3.amazonaws.com/photos/16795490/original.jpg
Diabrotica decempunctata,dataset,True,,,
Diaethria clymena,dataset,True,,,
Diasporus anthrax,sib_caldas,False,56d4aef53c16479905cba8a5,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/171112873/original.jpg
Dichapetalum bernalii,sib_caldas,False,566f08fbf289f5a40c0cd272,Vulnerable (VU),http://sweetgum.nybg.org/images3/634/539/00000910-01.jpg
Didelphis marsupialis,dataset|sib_caldas,True,5a00f034b255d98254bc9ca6,,https://inaturalist-open-data.s3.amazonaws.com/photos/177184359/large.jpeg
Digitaria bicornis,sib_caldas,False,56e7844383c45700544e4099,,http://cdn.flmnh.ufl.edu/Herbarium/jpg/263/263141a1.jpg
Diglossa albilatera,dataset|sib_caldas,True,56c52c15f0106c67230e739a,,https://upload.wikimedia.org/wikipedia/commons/a/ac/White-sided_Flowerpiercer_-_South_Ecuador_S4E2856_%2823391895895%29.jpg
Diglossa cyanea,dataset|sib_caldas,True,56c53387f0106c67230e739b,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/176534310/large.jpg
Diglossa humeralis,dataset|sib_caldas,True,56c53c72f0106c67230e739c,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/178166187/large.jpeg
Diglossa lafresnayii,dataset,True,,,
Diglossa sittoides,sib_caldas,False,56c66856f0106c67230e73c1,,https://inaturalist-open-data.s3.amazonaws.com/photos/175838008/original.jpeg
Dinomys branickii,sib_caldas,False,56c4b8f2f0106c67230e7388,Vulnerable (VU),http://upload.wikimedia.org/wikipedia/commons/8/87/Dinomys_branickii.JPG
Dione glycera,dataset,True,,,
Dioscorea acanthogene,sib_caldas,False,5ff354d04c1bb4ce7b04f4a8,No evaluado (NE),https://live.staticflickr.com/7325/13669158503_28798fa8ab_b.jpg
Dioscorea pennellii,sib_caldas,False,5ff1ef423dfef6cd4997a719,,https://herbanwmex.net/imglib/seinet/mam/PH/PH00011/PH00011724_1666453303_web.jpg
Dioscorea polygonoides,sib_caldas,False,5fe204d7b26fce3e6b82ccca,No evaluado (NE),https://inaturalist-open-data.s3.amazonaws.com/photos/235628075/large.jpeg
Diplostephium cinerascens,sib_caldas,False,56cfcef53c16479905cba807,,https://inaturalist-open-data.s3.amazonaws.com/photos/173980947/large.jpeg
Diplostephium eriophorum,sib_caldas,False,56cfd1583c16479905cba809,,https://medialib.naturalis.nl/file/id/L.3764060/format/large
Diplostephium tolimense,sib_caldas,False,5b5893def0d3bfe030572059,,https://fm-digital-assets.fieldmuseum.org/48/130/V0049361F.jpg
Dipsas sanctijoannis,dataset,True,,,
Disersus,sib_caldas,False,56de0b2283c45700544e3bf2,,https://inaturalist-open-data.s3.amazonaws.com/photos/69789755/large.jpeg
